"REF_DATE","GEO","DGUID","Farm land and buildings","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","3570","","","","0"
"2021","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","3947","","","","0"
"2022","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","4527","","","","0"
"2023","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","4957","","","","0"
"2024","Canada","2016A000011124","Value per acre","Dollars","81","units","0","v381831","1.1","5302","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","6623","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","7497","","","","0"
"2022","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","8133","","","","0"
"2023","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","8661","","","","0"
"2024","Newfoundland and Labrador","2016A000210","Value per acre","Dollars","81","units","0","v381832","2.1","9000","","","","0"
"2020","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","4421","","","","0"
"2021","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","4664","","","","0"
"2022","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","5898","","","","0"
"2023","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","6500","","","","0"
"2024","Prince Edward Island","2016A000211","Value per acre","Dollars","81","units","0","v381834","3.1","6721","","","","0"
"2020","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","2909","","","","0"
"2021","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","3313","","","","0"
"2022","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","3659","","","","0"
"2023","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","3934","","","","0"
"2024","Nova Scotia","2016A000212","Value per acre","Dollars","81","units","0","v381835","4.1","4075","","","","0"
"2020","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","3353","","","","0"
"2021","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","3432","","","","0"
"2022","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","3746","","","","0"
"2023","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","4340","","","","0"
"2024","New Brunswick","2016A000213","Value per acre","Dollars","81","units","0","v381836","5.1","4525","","","","0"
"2020","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","7066","","","","0"
"2021","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","8072","","","","0"
"2022","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","9089","","","","0"
"2023","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","9973","","","","0"
"2024","Quebec","2016A000224","Value per acre","Dollars","81","units","0","v381837","6.1","10641","","","","0"
"2020","Ontario","2016A000235","Value per acre","Dollars","81","units","0","v381838","7.1","12341","","","","0"
"2021","Ontario","2016A000235","Value per acre","Dollars","81","units","0","v381838","7.1","14435","","","","0"
"2022","Ontario","2016A000235","Value per acre","Dollars","81","units","0","v381838","7.1","17963","","","","0"
"2023","Ontario","2016A000235","Value per acre","Dollars","81","units","0","v381838","7.1","19738","","","","0"
"2024","Ontario","2016A000235","Value per acre","Dollars","81","units","0","v381838","7.1","20782","","","","0"
"2020","Manitoba","2016A000246","Value per acre","Dollars","81","units","0","v381839","8.1","2532","","","","0"
"2021","Manitoba","2016A000246","Value per acre","Dollars","81","units","0","v381839","8.1","2761","","","","0"
"2022","Manitoba","2016A000246","Value per acre","Dollars","81","units","0","v381839","8.1","3121","","","","0"
"2023","Manitoba","2016A000246","Value per acre","Dollars","81","units","0","v381839","8.1","3440","","","","0"
"2024","Manitoba","2016A000246","Value per acre","Dollars","81","units","0","v381839","8.1","3697","","","","0"
"2020","Saskatchewan","2016A000247","Value per acre","Dollars","81","units","0","v381840","9.1","1710","","","","0"
"2021","Saskatchewan","2016A000247","Value per acre","Dollars","81","units","0","v381840","9.1","1798","","","","0"
"2022","Saskatchewan","2016A000247","Value per acre","Dollars","81","units","0","v381840","9.1","2050","","","","0"
"2023","Saskatchewan","2016A000247","Value per acre","Dollars","81","units","0","v381840","9.1","2385","","","","0"
"2024","Saskatchewan","2016A000247","Value per acre","Dollars","81","units","0","v381840","9.1","2647","","","","0"
"2020","Alberta","2016A000248","Value per acre","Dollars","81","units","0","v381841","10.1","3091","","","","0"
"2021","Alberta","2016A000248","Value per acre","Dollars","81","units","0","v381841","10.1","3279","","","","0"
"2022","Alberta","2016A000248","Value per acre","Dollars","81","units","0","v381841","10.1","3495","","","","0"
